"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
344,7528,21154.50683,9545.57787,184.82055,1167.87595,10.26656,27.75843,36.10423
345,7537,22288.83594,1872.44146,93.7687,742.59592,14.6089,25.16278,15.00969
346,7538,23219.20965,3547.55482,130.80115,1374.95822,19.60281,33.9953,19.63258
347,7539,23267.8228,3514.63814,94.71241,835.88646,15.41556,25.86121,13.9815
348,7540,23270.97364,3473.369,98.34562,956.89343,22.67679,29.02696,14.54163
349,7543,21610.35105,9862.16212,98.11411,753.12477,11.59259,23.79945,15.20306
351,7554,22590.61545,13774.49858,124.75517,867.85117,15.15201,23.50903,19.94275
352,7557,24445.40894,17587.10062,221.80159,1608.57523,6.1603,28.41267,38.18912
353,7596,12819.89853,1496.23444,141.27277,1339.38999,8.13409,27.88823,19.24819
354,7610,12779.4961,1549.60513,83.26404,1151.79662,12.94049,23.7363,7.83045
355,7611,12795.72247,1533.93274,82.77707,587.30243,18.43831,26.17867,15.82932
357,7620,12748.09487,1590.50676,161.55486,1132.25852,13.78195,31.31111,32.41881
358,7624,22314.48804,1829.34485,113.74845,1069.14087,16.3125,32.48613,18.68151
359,7646,14017.70868,5040.62031,110.35895,765.39668,15.75173,26.26771,20.06428
360,7647,22258.33253,1884.75716,106.175,856.51121,15.9594,22.95687,14.90604
362,7684,20908.72748,9524.83632,117.85327,927.32591,13.48933,24.58793,17.62879
364,7745,22128.88868,13949.11903,90.00639,641.4618,19.59091,30.03679,18.96577
365,7748,12763.65824,1402.62049,182.91576,1213.89061,10.08675,31.75982,38.80944
367,7798,16904.80548,933.92724,149.85863,1099.11335,11.23912,26.73815,24.966
