Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
174,474,122.203,157.122,113,126,133,187,1.000,24.035,289.209,0.003,1.485,9,15.498,106
175,162,75.988,46.296,65,39,87,54,1.000,4.020,44.694,0.022,1.842,5,14.257,90
176,328,87.628,82.250,72,72,101,96,1.000,10.072,81.008,0.012,2.054,7,17.890,118
177,173,242.364,95.844,235,88,247,106,1.000,7.813,26.932,0.037,2.346,3,17.022,51
178,357,170.417,87.902,155,78,187,98,1.000,14.985,58.612,0.017,2.253,5,15.874,106
179,131,19.710,49.412,17,39,23,60,1.000,3.138,36.135,0.028,2.079,8,15.127,60
180,187,35.075,49.027,23,42,46,57,1.000,4.906,50.676,0.020,1.929,4,14.653,70
181,194,40.077,28.701,29,19,51,38,1.000,4.779,61.152,0.016,1.884,4,15.103,65
182,5107,209.864,37.281,149,0,247,90,1.000,302.377,779.163,0.001,3.159,13,33.533,49
183,209,21.809,76.435,7,68,35,85,1.000,4.839,73.964,0.014,1.812,7,14.341,69
184,9487,44.679,190.878,0,120,125,242,1.000,669.705,1323.813,7.554E-4,3.159,16,42.055,47
185,178,21.747,69.427,8,62,35,76,1.000,3.083,69.845,0.014,1.779,5,15.236,69
186,530,15.325,96.504,0,80,39,112,1.000,18.631,139.713,0.007,2.111,9,16.727,66
187,279,15.573,20.143,8,4,22,39,1.000,7.777,94.168,0.011,1.912,5,17.042,49
188,438,35.788,7.753,21,0,52,21,1.000,27.629,57.253,0.017,2.583,4,19.351,50
