Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
286,52,3.135,199.308,0,195,7,204,1.000,3.005,6.325,0.158,1.871,3,16.493,74
287,199,25.437,50.015,11,44,41,55,1.000,3.616,72.615,0.014,1.873,6,15.357,94
288,285,25.625,122.940,12,110,41,140,1.000,6.735,99.121,0.010,1.717,8,13.676,111
289,195,228.026,36.605,222,23,236,50,1.000,4.098,63.622,0.016,1.891,5,12.650,70
290,153,31.000,231.320,26,221,37,241,1.000,4.933,32.278,0.031,2.096,5,10.999,72
291,152,118.191,10.434,114,0,123,22,1.000,4.181,37.719,0.027,2.087,4,12.203,102
292,237,67.747,183.987,57,168,78,197,1.000,4.766,86.954,0.012,1.781,5,12.330,133
293,216,105.810,200.769,92,191,119,209,1.000,4.891,69.302,0.014,1.852,6,13.308,135
294,174,136.161,158.046,124,149,148,167,1.000,3.430,62.415,0.016,1.713,5,13.735,165
295,225,59.747,65.031,49,56,71,77,1.000,9.392,51.263,0.020,1.945,6,15.541,130
296,227,47.868,204.079,41,189,54,218,1.000,6.105,66.726,0.015,1.914,7,15.535,106
297,215,76.819,31.153,66,19,87,43,1.000,5.162,65.079,0.015,1.846,7,15.522,112
298,193,77.694,193.927,68,182,87,203,1.000,5.719,49.369,0.020,1.923,4,14.315,132
299,208,34.202,83.760,27,68,42,98,1.000,3.628,79.841,0.013,1.806,5,13.520,116
300,268,92.522,196.959,82,182,103,212,1.000,5.926,90.989,0.011,1.896,7,16.470,139
301,166,93.476,29.253,87,19,100,42,1.000,4.529,41.861,0.024,1.922,5,13.789,118
302,151,73.311,128.245,63,119,83,137,1.000,3.175,47.648,0.021,1.714,5,11.878,151
303,324,102.525,160.373,94,143,110,175,1.000,10.716,74.428,0.013,2.237,6,15.159,162
304,150,18.653,12.613,15,1,22,23,1.000,3.917,39.467,0.025,2.069,5,10.574,61
305,365,76.575,208.436,65,189,91,227,1.000,9.202,130.247,0.008,1.871,9,16.336,118
306,79,240.975,73.063,237,64,243,81,1.000,2.669,20.250,0.049,1.781,4,17.857,80
307,170,68.182,232.859,56,223,77,241,1.000,4.266,46.263,0.022,1.810,6,14.272,91
308,178,188.056,16.893,180,6,196,28,1.000,4.960,43.368,0.023,1.913,5,12.703,85
309,344,135.445,62.078,127,46,142,76,1.000,14.840,55.677,0.018,2.526,6,16.580,146
310,324,156.534,204.633,147,189,166,218,1.000,12.273,63.486,0.016,2.237,7,15.185,126
311,97,109.268,207.072,102,202,117,213,1.000,3.184,20.295,0.049,1.823,4,13.491,131
312,204,88.466,214.760,76,208,102,221,1.000,4.740,62.290,0.016,1.995,5,16.051,114
313,219,16.836,33.507,2,26,32,41,1.000,4.539,79.647,0.013,1.869,7,14.500,75
314,159,56.918,213.874,52,201,64,226,1.000,3.924,48.764,0.021,1.820,5,14.254,103
315,282,25.337,83.202,14,70,37,101,1.000,9.171,102.973,0.010,1.824,6,13.938,112
316,155,44.910,226.832,41,214,50,239,1.000,3.747,46.591,0.021,1.886,6,11.290,85
317,175,75.280,184.520,68,172,82,197,1.000,4.262,50.315,0.020,1.845,4,13.184,136
318,166,5.717,86.440,0,72,13,98,1.000,3.318,58.108,0.017,1.781,4,15.437,93
319,137,52.591,6.730,45,0,61,14,1.000,4.367,28.116,0.036,2.008,5,15.649,76
320,85,32.224,5.494,29,0,36,13,1.000,4.005,12.278,0.081,2.125,4,10.652,63
321,305,100.092,217.515,76,207,122,227,1.000,3.842,184.668,0.005,1.611,8,13.484,121
322,65,0.892,20.354,0,7,3,31,0.670,1.000,49.070,0.014,1.303,3,16.277,54
323,92,105.261,237.707,96,232,112,241,1.000,2.789,21.980,0.045,1.825,4,14.889,94
324,73,240.479,186.041,237,181,243,193,1.000,3.065,12.539,0.080,2.112,2,13.191,77
325,120,92.242,136.367,88,127,97,146,1.000,3.559,30.689,0.033,1.898,5,15.067,168
326,189,4.804,11.783,0,0,9,25,1.000,4.665,55.017,0.018,2.096,4,12.966,52
327,107,227.579,236.757,220,230,238,241,1.000,3.395,24.958,0.040,1.758,4,11.163,64
328,203,136.079,7.704,127,0,142,18,1.000,10.660,29.217,0.034,2.386,5,14.451,97
329,418,12.821,206.823,0,195,30,219,1.000,14.841,85.686,0.012,2.414,6,14.591,79
330,235,140.617,25.026,127,15,156,36,1.000,4.891,83.421,0.012,1.771,7,14.838,111
331,129,150.372,24.155,141,15,161,33,1.000,2.857,43.973,0.023,1.543,4,13.614,110
332,93,170.022,3.237,164,0,176,7,1.000,4.718,12.623,0.079,2.256,4,11.957,85
333,248,39.218,12.347,30,0,53,26,1.000,5.914,72.773,0.014,1.871,6,11.591,75
334,124,12.185,17.323,9,8,16,26,1.000,3.989,28.800,0.035,1.879,5,11.421,61
335,214,234.584,188.939,228,177,243,200,1.000,7.076,48.364,0.021,2.163,6,12.834,82
336,110,11.982,233.918,7,227,16,241,1.000,5.338,15.882,0.063,2.220,5,11.079,60
337,99,239.505,226.061,233,220,243,234,1.000,6.980,11.488,0.087,1.990,5,14.528,60
338,95,104.463,7.863,101,0,108,14,1.000,3.871,15.591,0.064,2.189,4,11.870,99
